realization,w0_marginal68_contains_generating_value,w0_marginal95_contains_generating_value,wa_marginal68_contains_generating_value,wa_marginal95_contains_generating_value,wp_marginal68_contains_generating_value,wp_marginal95_contains_generating_value,H0_marginal68_contains_generating_value,H0_marginal95_contains_generating_value,Omega_m0_marginal68_contains_generating_value,Omega_m0_marginal95_contains_generating_value,HPD68_contains_generating_point,HPD95_contains_generating_point,ellipse68_contains_generating_point,ellipse95_contains_generating_point
N100-0,True,True,True,True,False,True,True,True,True,True,True,True,True,True
N100-1,False,True,False,True,True,True,True,True,False,True,True,True,True,True
N100-2,True,True,True,True,True,True,True,True,True,True,True,True,True,True
N100-3,False,True,False,True,True,True,True,True,True,True,False,True,True,True
N100-4,True,True,True,True,True,True,True,True,True,True,True,True,True,True
N100-5,True,True,True,True,True,True,True,True,True,True,True,True,True,True
N100-6,True,True,True,True,True,True,True,True,True,True,True,True,True,True
N100-7,True,True,True,True,False,True,False,True,False,True,True,True,True,True
N100-8,True,True,True,True,True,True,True,True,True,True,True,True,True,True
N100-9,True,True,False,True,True,True,True,True,True,True,False,True,False,True
N100-10,True,True,True,True,True,True,True,True,True,True,True,True,True,True
N100-11,True,True,True,True,True,True,True,True,True,True,True,True,True,True
N100-12,True,True,True,True,False,True,False,True,True,True,True,True,True,True
N100-13,True,True,True,True,True,True,True,True,True,True,True,True,True,True
N100-14,True,True,False,True,False,True,False,True,True,True,False,True,False,True
N100-15,False,True,False,True,True,True,True,True,True,True,False,True,True,True
N100-16,False,True,True,True,False,True,False,True,False,True,True,True,True,True
N100-17,False,True,False,True,True,True,True,True,True,True,False,True,False,True
N100-18,True,True,True,True,True,True,True,True,True,True,True,True,True,True
N100-19,False,True,True,True,False,True,True,True,True,True,False,True,True,True
N100-20,False,True,True,True,True,True,True,True,True,True,True,True,True,True
N100-21,False,False,False,False,False,True,False,True,False,False,False,False,False,False
N100-22,False,False,False,True,False,True,False,True,False,False,False,True,False,True
N100-23,True,True,True,True,True,True,True,True,True,True,True,True,True,True
N100-24,True,True,True,True,True,True,True,True,True,True,True,True,True,True
N100-25,True,True,True,True,False,False,False,False,False,True,False,True,False,True
N100-26,True,True,True,True,True,True,True,True,True,True,True,True,True,True
N100-27,False,True,False,True,True,True,False,True,False,True,False,True,False,True
N100-28,True,True,True,True,False,True,False,False,False,True,False,True,False,True
N100-29,True,True,True,True,False,True,False,True,False,True,True,True,True,True
N100-30,False,True,False,True,True,True,True,True,True,True,False,True,False,True
N100-31,True,True,True,True,True,True,True,True,True,True,True,True,True,True
N100-32,False,True,False,True,True,True,True,True,False,True,False,True,False,True
N100-33,False,False,False,False,True,True,True,True,False,True,False,True,False,True
N100-34,False,True,False,False,True,True,True,True,True,True,False,True,False,True
N100-35,True,True,True,True,True,True,True,True,True,True,True,True,True,True
N100-36,True,True,True,True,True,True,True,True,True,True,True,True,True,True
N100-37,True,True,True,True,True,True,True,True,True,True,True,True,True,True
N100-38,True,True,True,True,True,True,False,True,False,True,True,True,True,True
N100-39,True,True,True,True,True,True,True,True,False,True,True,True,True,True
N100-40,True,True,False,True,True,True,True,True,True,True,True,True,True,True
N100-41,True,True,True,True,True,True,True,True,True,True,True,True,True,True
N100-42,True,True,True,True,True,True,True,True,True,True,True,True,True,True
N100-43,True,True,True,True,False,True,True,True,True,True,True,True,True,True
N100-44,True,True,True,True,True,True,True,True,False,True,True,True,True,True
N100-45,False,True,False,True,False,True,True,True,False,True,False,True,False,True
N100-46,True,True,True,True,True,True,True,True,True,True,True,True,True,True
N100-47,True,True,True,True,True,True,True,True,True,True,True,True,True,True
N100-48,True,True,True,True,True,True,True,True,True,True,True,True,True,True
N100-49,True,True,True,True,True,True,False,True,False,False,True,True,True,True
N100-50,True,True,True,True,True,True,False,True,False,True,True,True,True,True
N100-51,False,False,False,True,False,True,False,True,False,True,False,True,False,True
N100-52,False,True,False,True,True,True,True,True,True,True,False,True,False,True
N100-53,True,True,False,True,True,True,True,True,True,True,True,True,True,True
