realization,Delta_chi2_A,Delta_chi2_LR
N100-0,3.9932888042330887,1.386482899288012
N100-1,3.152789719151997,1.7119457759683883
N100-2,5.018780404211157,0.9864892913039967
N100-3,5.30717090219855,2.3677647561621598
N100-4,5.71858300900135,0.7910391739183069
N100-5,4.446322713535892,0.6517009024091749
N100-6,5.068674646450972,0.1107125939170146
N100-7,7.993981193927766,1.1704318150859763
N100-8,5.630943738859742,0.02295759162370814
N100-9,8.305067458679787,3.20779727888862
N100-10,4.1594978666441875,0.23763941159518254
N100-11,2.5420630268183686,0.058747040447087784
N100-12,6.178610697550766,2.312750985660159
N100-13,1.8820640545295646,0.7799066488994413
N100-14,7.463007159775088,2.7667464233911687
N100-15,7.170429753642338,2.4954597628645843
N100-16,3.8311716279536085,1.9862353766209253
N100-17,4.771686855034886,3.2422105528980865
N100-18,1.4940267630208837,1.2769369323575575
N100-19,5.714613747858721,2.229182898475983
N100-20,4.866295754462499,1.350567425739655
N100-21,19.691063894983017,8.17545941586991
N100-22,8.216355367037522,4.422830379616244
N100-23,3.7685827722964405,0.13760130129912795
N100-24,8.21722224083328,0.33014219955271074
N100-25,5.073699329590909,4.707473278961288
N100-26,3.942385819122137,0.4914792623917492
N100-27,7.282773825501181,3.2295627586865976
N100-28,5.717820112797654,3.5259521329369363
N100-29,4.81151629610531,1.2694244870372131
N100-30,13.17532182008199,2.6316330623340036
N100-31,7.194835513646012,0.48739980202822153
N100-32,8.166785944942603,2.6474238418586538
N100-33,6.768269199311817,5.988506574440862
N100-34,6.430540842154869,4.677995752401785
N100-35,8.295746788763836,0.8129657132340071
N100-36,3.746035649497344,0.7347745869890332
N100-37,1.6626980817213735,1.1848270003022208
N100-38,5.928102639060853,0.11234249785798056
N100-39,11.611637583854417,0.7376349328771994
N100-40,4.935360458084688,1.3146417389300495
N100-41,6.745094587053018,0.13360195377390482
N100-42,1.902049553032839,0.23630190317476263
N100-43,5.426349546549773,1.6723005314845523
N100-44,11.092008515862517,0.5156053619637078
N100-45,5.196249817097396,3.0981834507135773
N100-46,7.5233008839281865,0.9481804926863333
N100-47,9.56790775789591,1.025767874462872
N100-48,2.0339988887708387,0.3130364710393678
N100-49,5.3720049696805745,0.95109808756456
N100-50,5.696442779166546,0.6193588547203035
N100-51,9.780058857623544,4.34585015629068
N100-52,3.4019270377204975,2.5087082779232333
N100-53,2.8021506018103537,1.1391253474532732
N100-54,6.778362549436679,0.07916950269236622
N100-55,5.649981725592625,0.821878397616274
N100-56,6.801675609238146,1.2606030670301607
N100-57,3.4533114925638984,0.39905958585109147
N100-58,7.76095691453088,3.707943828011139
N100-59,5.145905619244786,0.30064951368399306
N100-60,7.163661766007863,1.423868650761733
N100-61,10.448808856892128,7.559181840845895
N100-62,4.058450448726489,0.6553595980199134
N100-63,5.644601613887971,3.7623818130014115
N100-64,7.635176898897043,1.4785193649952362
N100-65,24.34927403746974,16.410529185984615
N100-66,11.494391569506433,0.5516306235028878
N100-67,3.0584200611513097,0.2435854980037675
N100-68,6.733394856094037,3.953298871805373
N100-69,2.745797078435089,0.5776157308596339
N100-70,6.501855985432712,3.0036047745552423
N100-71,6.97984783231027,3.199688529482728
N100-72,1.1284170768301465,0.2580673940003635
N100-73,3.8811315047394146,0.48132950484750836
N100-74,9.073261960833179,3.7137671906307332
N100-75,6.8516371902951505,1.1105359300474902
N100-76,8.809716101868844,0.7209683852727267
N100-77,14.348725234520316,3.6801851940042525
N100-78,0.8526712428354131,0.6056464448431598
N100-79,3.87307897733308,1.1897281337476215
N100-80,2.09180574497168,1.2340606026511978
N100-81,3.342989173868091,0.33989224820038544
N100-82,7.140356087196778,5.071172426625708
N100-83,6.842348720551399,4.30044272672626
N100-84,13.210755214862274,0.5709105287537568
N100-85,5.765038578661688,0.39494734160007283
N100-86,4.911809850758345,0.7585497717007001
N100-87,16.61260817655534,9.11426867539899
N100-88,2.7902184522733933,0.4095203321560348
N100-89,6.944776855861846,4.188470802350139
N100-90,7.423456857269912,2.1147896536135704
N100-91,9.259409628467893,5.504523250742068
N100-92,9.979409828833695,1.7434753797506346
N100-93,6.880524020644316,0.20634783823788894
N100-94,7.236991328953536,3.4186076778651113
N100-95,3.7457793025787396,1.402127828242783
N100-96,3.6737782927300486,3.2746426730448093
N100-97,8.921531874654193,3.381447760446008
N100-98,11.282128552630866,4.449818848204131
N100-99,3.9366110621697317,1.252196959989078
