realization,chi2_min_LCDM,chi2_min_CPL,LCDM_random_start_seed,CPL_random_start_seed,LCDM_optimizer_success,CPL_optimizer_success,LCDM_optimizer_method,CPL_optimizer_method,LCDM_total_starts,CPL_total_starts,LCDM_restart_chi2_spread,CPL_restart_chi2_spread,max_restart_chi2_spread
N100-0,1646.5766070305797,1645.1901241312917,910000,920000,True,True,SLSQP,SLSQP,7,9,1.8189894035458565e-11,2.2737367544323206e-10,2.2737367544323206e-10
N100-1,1550.3931686978474,1548.681222921879,910001,920001,True,True,SLSQP,SLSQP,7,9,5.229594535194337e-12,6.639311322942376e-11,6.639311322942376e-11
N100-2,1646.9356505959236,1645.9491613046196,910002,920002,True,True,SLSQP,SLSQP,7,9,1.318767317570746e-11,8.86757334228605e-12,1.318767317570746e-11
N100-3,1518.8757239755744,1516.5079592194122,910003,920003,True,True,SLSQP,SLSQP,7,9,1.1095835361629725e-10,9.799805411603302e-11,1.1095835361629725e-10
N100-4,1567.9885439574691,1567.1975047835508,910004,920004,True,True,SLSQP,SLSQP,7,9,1.887201506178826e-11,8.321876521222293e-11,8.321876521222293e-11
N100-5,1602.317196347423,1601.665495445014,910005,920005,True,True,SLSQP,SLSQP,7,9,1.5870682545937598e-10,5.240963218966499e-10,5.240963218966499e-10
N100-6,1712.940445625837,1712.82973303192,910006,920006,True,True,SLSQP,SLSQP,7,9,3.069544618483633e-11,2.651177055668086e-10,2.651177055668086e-10
N100-7,1550.6669296281036,1549.4964978130176,910007,920007,True,True,SLSQP,SLSQP,7,9,4.615685611497611e-11,3.092281986027956e-11,4.615685611497611e-11
N100-8,1486.4712772904427,1486.448319698819,910008,920008,True,True,SLSQP,SLSQP,7,9,1.4483703125733882e-10,5.400124791776761e-10,5.400124791776761e-10
N100-9,1590.1437435250882,1586.9359462461996,910009,920009,True,True,SLSQP,SLSQP,7,9,7.02584657119587e-11,2.2328094928525388e-10,2.2328094928525388e-10
N100-10,1589.9797044949137,1589.7420650833185,910010,920010,True,True,SLSQP,SLSQP,7,9,2.000888343900442e-11,5.238689482212067e-10,5.238689482212067e-10
N100-11,1589.0992548699028,1589.0405078294557,910011,920011,True,True,SLSQP,SLSQP,7,9,0.0,5.259153113001958e-10,5.259153113001958e-10
N100-12,1581.064748665023,1578.7519976793628,910012,920012,True,True,SLSQP,SLSQP,7,9,1.5916157281026244e-12,4.0949998947326094e-10,4.0949998947326094e-10
N100-13,1594.4730144905589,1593.6931078416594,910013,920013,True,True,SLSQP,SLSQP,7,9,1.971329766092822e-10,8.230927051045e-11,1.971329766092822e-10
N100-14,1668.562425683047,1665.7956792596558,910014,920014,True,True,SLSQP,SLSQP,7,9,1.4551915228366852e-11,2.1532287064474076e-10,2.1532287064474076e-10
N100-15,1645.3210076381813,1642.8255478753167,910015,920015,True,True,SLSQP,SLSQP,7,9,3.1377567211166024e-11,9.117684385273606e-11,9.117684385273606e-11
N100-16,1446.8713243536845,1444.8850889770636,910016,920016,True,True,SLSQP,SLSQP,7,9,1.546140993013978e-11,1.8667378753889352e-10,1.8667378753889352e-10
