realization,a_p,z_p,w_p_mean,w_p_median,w_p_std,w_p_q2p5,w_p_q16,w_p_q84,w_p_q97p5
N100-0,0.7736733366450084,0.2925351729664676,-1.029387290290119,-1.0291997530084354,0.025510077258166744,-1.0798797400375226,-1.0547025173163407,-1.0041132865482387,-0.9796233211136286
N100-1,0.7583713900286704,0.31861514443760175,-1.0040258138346434,-1.0038362500026916,0.024622872502869184,-1.0527180931397848,-1.0284426839525762,-0.9796921139286663,-0.9559298209146397
N100-2,0.7679069075111118,0.3022411834282528,-0.9779601318123925,-0.9778190106086327,0.02533706954334101,-1.027964504156467,-1.0031545777571087,-0.9527464405106427,-0.9286890201872231
N100-3,0.754198283505543,0.3259112648095155,-1.0121891982293219,-1.012099448414241,0.024615688593756856,-1.0608477962026417,-1.036599517326831,-0.9877368061813242,-0.9641758978799053
N100-4,0.7585835558153127,0.3182463452232589,-0.9968310050935856,-0.9966974559146731,0.02514923476864915,-1.0464976137453248,-1.0218340414399512,-0.9718069360326201,-0.9479251363547897
N100-5,0.7745758790008884,0.2910291000668419,-0.9997681536407003,-0.9997158343183327,0.02599063608453779,-1.050831057952357,-1.025565988633023,-0.9740176188018617,-0.9488878341853032
N100-6,0.7778208544034235,0.2856430813583475,-1.0101175530934141,-1.0100117968987021,0.025478971039802234,-1.0604540190439566,-1.0354106847165863,-0.984861880195005,-0.9603432150080085
N100-7,0.7790860849027759,0.2835552057444237,-1.02900623578583,-1.028962611067372,0.025744587440635083,-1.0797274939436265,-1.05461872447339,-1.0034068079648075,-0.9787127335745346
N100-8,0.7708607148926838,0.2972512163098311,-1.0025988949727385,-1.002488522563383,0.025442419614596402,-1.0527319779043836,-1.0279275029996642,-0.9772993390505246,-0.9530660944686274
N100-9,0.7400322414582796,0.3512924761621705,-0.9795516909768794,-0.9794727073592481,0.024121954463532082,-1.0271891723953788,-1.0034682719535588,-0.9555500645912773,-0.932624121000452
N100-10,0.768727242104696,0.30085151823435186,-1.0068237783250173,-1.00672725078391,0.025193209508300927,-1.0565725890558264,-1.0319163369768567,-0.9817409260139017,-0.9578678922187384
N100-11,0.770930014657268,0.2971346049414998,-1.0024659048803548,-1.0023424878131024,0.025470602585174994,-1.0527635360836343,-1.0277897842615027,-0.9772058381998794,-0.9528348593125556
N100-12,0.75153147089802,0.3306162665484653,-0.9646297571740436,-0.9645252575323695,0.024763393849618086,-1.0135801349393672,-0.9892349050869976,-0.9400150346179391,-0.9163699685851462
N100-13,0.7781326773540136,0.28512788256166144,-0.9869749595950178,-0.9868901610937315,0.025951565776655045,-1.0380450224551654,-1.012828919469404,-0.9611263594703013,-0.9363726103326192
N100-14,0.7815730869794806,0.27947087311394836,-1.0302875932585063,-1.0301860965102179,0.026048896700538077,-1.0814939200255218,-1.0562317757347623,-1.0043731638609352,-0.9794911040798413
N100-15,0.7559126361650912,0.32290419839151907,-0.9949956991676742,-0.9949029343769111,0.024586273304803726,-1.0435710304689558,-1.0194170693535938,-0.9705528180729522,-0.9471117217905359
N100-16,0.7726475652417875,0.29425115018264036,-1.0320838527690281,-1.0319858544154434,0.025078629912194284,-1.0815912172550781,-1.0569800995496343,-1.0071521584711955,-0.9832201699127849
N100-17,0.7536724881921629,0.32683627924206693,-1.0018434068758455,-1.0015731444276454,0.024618871847403342,-1.0506300984319745,-1.0262937067576767,-0.9775476045081024,-0.9542266856868713
N100-18,0.7826614288579358,0.2776916852274245,-1.019164084457943,-1.019102453870794,0.025912138909984984,-1.0701110845715194,-1.0448757800084925,-0.9934331819747427,-0.9684675616771333
N100-19,0.772488493848781,0.29451766332166973,-1.0347807625727765,-1.0346563067921435,0.025571641794595295,-1.0852991333833812,-1.0602078073660945,-1.0093701938213355,-0.9849379386797206
N100-20,0.762834423280963,0.31090046474172484,-1.0116885053085416,-1.0115557481514539,0.02524928833877509,-1.0616058455806061,-1.0367289346966386,-0.9866509097231178,-0.96246158095285
N100-21,0.7761569334714784,0.28839923587018657,-0.9485482017665195,-0.9484277116696855,0.026129754205646356,-1.0000104469743347,-0.9744872079842654,-0.9226855055295573,-0.8974192758493651
N100-22,0.7780652196762577,0.28523930219639726,-0.9633095926222958,-0.9632035108762199,0.026192170489953828,-1.0149477395722504,-0.9893017145146794,-0.9373080212913767,-0.912188733895552
N100-23,0.7791967553197181,0.28337290058360476,-0.9935854398869945,-0.993453549689023,0.02576432115080581,-1.0444523341251026,-1.0192016467657241,-0.9679588570535784,-0.943435810772525
N100-24,0.7689426906401379,0.3004870352139104,-0.9957023907266693,-0.995648011693428,0.025870880832785857,-1.0465319850755006,-1.0214302311928254,-0.9699670489550936,-0.9451358858508896
N100-25,0.7597967218738471,0.31614150365607285,-0.9478738736599238,-0.9476915855252821,0.025083346136748234,-0.9975510463488111,-0.9727795567982971,-0.9229701377314445,-0.8990846370979287
N100-26,0.7751147374986014,0.29013157874811335,-1.008125743673929,-1.0080420994590853,0.025768336982845006,-1.0588369834438311,-1.0337562091445411,-0.982445837334943,-0.9579311456083686
N100-27,0.7860287797176859,0.2722180482490286,-1.0203949076783232,-1.0203464498796033,0.026125199685328466,-1.0717335304737179,-1.0463652779809602,-0.9943464735175354,-0.9694086634916894
N100-28,0.7519753399964074,0.3298308425975478,-0.9557760080224329,-0.9555967541305755,0.025103938076368376,-1.0054498816383477,-0.9807045193204528,-0.9308589347544213,-0.9070297524289219
N100-29,0.7718839394052933,0.29553155461488334,-1.028073541484538,-1.0280310842157425,0.0252411033573296,-1.0776453371903267,-1.0531242277002963,-1.0030158142262189,-0.9787621777384173
N100-30,0.7525018380645059,0.3289004084987739,-1.0026315722152708,-1.0025159368551209,0.02444509493526044,-1.0509401628361452,-1.0268852189693396,-0.9783503568274726,-0.9550280700012337
N100-31,0.7679305689788447,0.30220105878810055,-0.9859701210586125,-0.9859098192978459,0.025490111370221256,-1.0361862988364168,-1.0112860556040362,-0.9606468639574629,-0.9362116772035546
N100-32,0.786993974562787,0.2706577589181012,-1.000808416782651,-1.0007415420414376,0.026437155320001408,-1.052767206238229,-1.027044402154489,-0.9745847572953644,-0.9490445277362937
N100-33,0.746849018742144,0.33895871174098513,-1.009572058056863,-1.009380849705992,0.024031574910484205,-1.0572278950297263,-1.033382984737659,-0.9857912530199073,-0.9627903356176423
N100-34,0.7917458380563096,0.26303158404336213,-1.016468512437697,-1.0163203725790613,0.026409615464754163,-1.0686092702639003,-1.0427486076963366,-0.9902554277899653,-0.9649596361290798
N100-35,0.768835904822088,0.3006676635782306,-1.019486369732617,-1.0193958885349752,0.025655622240236965,-1.0699377331617317,-1.044992289465844,-0.9939364005178533,-0.9694585468302559
N100-36,0.7822354481552038,0.27838747573810974,-0.9993597270469371,-0.9992198749284565,0.0260011093976933,-1.0508641380245927,-1.0251687967708396,-0.9735404994182202,-0.9488122696580613
N100-37,0.7611244155749138,0.31384564669976056,-0.987218638153897,-0.9870893261391369,0.025035527791785264,-1.0366295920164252,-1.0121476507621545,-0.9623091103073406,-0.9384135501348573
N100-38,0.7691661635407391,0.300109192786969,-1.0074329097283878,-1.0073072786672697,0.02518892027783519,-1.0571881429830472,-1.0324474629722766,-0.9823583595690027,-0.9584842918512683
N100-39,0.7684159006992662,0.3013785881968214,-1.0092767324710612,-1.0092032340661223,0.024950975293481354,-1.058598055993447,-1.0340265759836316,-0.9845185913537607,-0.9606110699819487
N100-40,0.7827593543539092,0.27753184224211735,-1.0164686070137072,-1.0163200017978753,0.02599459530853933,-1.0675988752936965,-1.0423688792796326,-0.9906548411907412,-0.9656998098109015
N100-41,0.7709158657230524,0.29715841178347846,-1.0056496278312146,-1.0055440647624312,0.025496174218200666,-1.0558113842892318,-1.0310154584190014,-0.9803375298655417,-0.9558332302836107
N100-42,0.7729924422222287,0.2936737093122943,-1.010729201491595,-1.0106941353645549,0.025902714052432378,-1.0614739579924148,-1.0365208168531657,-0.9849435039262243,-0.9599931179351774
N100-43,0.7602714521705587,0.31531967581450204,-0.9701818610807408,-0.9700884334538182,0.02493651861910784,-1.0193749806476868,-0.9949699696973469,-0.9454413014466269,-0.9214384445946167
N100-44,0.7638653635756054,0.3091312261090924,-1.0001868093341257,-1.0001866589195914,0.024602121477405415,-1.048662669948277,-1.024558931350104,-0.9757592080294637,-0.9519682346708013
N100-45,0.7689525025709248,0.300470440835537,-1.030652836671844,-1.0304939964851356,0.02502568520771315,-1.0801958698639431,-1.0555227194069097,-1.0058573070845345,-0.9817577968770017
N100-46,0.7586019214700306,0.31821443064919275,-0.9811710410635944,-0.9810436325211345,0.024684186240036116,-1.0298788043392857,-1.005697767188399,-0.9566482578251576,-0.9331363385255892
N100-47,0.7728800166060147,0.2938618912562241,-1.0247760325880766,-1.024732236481486,0.025981841400983433,-1.075939859376572,-1.0505813010018021,-0.9989130058148754,-0.9741571396339125
N100-48,0.7767129563328345,0.28747691389286323,-0.996706629856515,-0.9966478774392074,0.025485558673164196,-1.0468735582712856,-1.0219583877168896,-0.9714385954777003,-0.9468384673213424
N100-49,0.7666967245244962,0.3042966899593813,-1.0209349357495305,-1.0208261748242045,0.02481381912714843,-1.069926341918608,-1.0455299278080747,-0.9963189416698596,-0.9725932655263604
N100-50,0.7763784322486451,0.2880316588698555,-1.0222305291375446,-1.0221928357703665,0.02544395295635421,-1.0720513690244824,-1.0475227717302384,-0.9968603809597363,-0.9725864865430495
N100-51,0.7595822043013378,0.3165132020434813,-1.0294319086969295,-1.029302669676133,0.02456132804927435,-1.0778845927951117,-1.0538674270291837,-1.0050479771247438,-0.9816420982653149
N100-52,0.7776946044731865,0.2858517909834337,-0.9800307755861144,-0.9798844285121344,0.026029478521058573,-1.031239216194958,-1.0059508773261725,-0.954235381179682,-0.929125494769699
N100-53,0.78840913253016,0.2683769869468702,-1.0110402170122452,-1.0109843128103657,0.026182336275842006,-1.0625877482314798,-1.0370037192801533,-0.9849542335134424,-0.9599320154949873
N100-54,0.7691267448544361,0.300175824973111,-1.0080929059169306,-1.0080522231889386,0.02547841226833347,-1.0580913179595248,-1.0334525905807694,-0.9827117856575979,-0.9583804109791333
N100-55,0.7726539362421935,0.2942404782967978,-0.9952650787831654,-0.9951852342352272,0.025422132265179608,-1.0453049722990195,-1.0204611197239002,-0.9701017426287094,-0.9455327221186935
N100-56,0.7849556827086882,0.2739572717650083,-1.0094497414183596,-1.0094022819358566,0.02635452945378266,-1.0613012334920557,-1.0356053726193284,-0.9832456218095093,-0.9580189291441041
N100-57,0.7615912689238556,0.3130402629392284,-1.004179346413431,-1.004070646616453,0.024873588430096384,-1.0533540912778203,-1.0288925091462273,-0.979401105620279,-0.9558005650837837
N100-58,0.7807911479600439,0.28075222498702535,-0.990924285746707,-0.9908502772480827,0.026472428118700785,-1.0429840527677594,-1.0172528702289754,-0.9646144394786956,-0.9392076779039155
N100-59,0.7652146455736651,0.3068228709218199,-0.9913504053567225,-0.9912936557214316,0.02526996837227399,-1.0410900166815242,-1.0164568804696505,-0.9661979808960864,-0.9420197370403112
N100-60,0.7869464678754199,0.27073446647492694,-1.028219405634548,-1.0281655253346182,0.02581086618288507,-1.0790319938653024,-1.0537982160322292,-1.0025857956134279,-0.9777275088926767
N100-61,0.760970148839857,0.3141119944383597,-0.9333989992495597,-0.9332836555853632,0.025143810071889268,-0.9830415976762198,-0.9583506179294795,-0.9084414492635001,-0.8844017172123592
N100-62,0.7750648171259792,0.29021467353930963,-1.022298013100829,-1.022209186951887,0.025233989955816268,-1.0719958665245677,-1.0473312774372276,-0.9972272560170803,-0.9731059764368707
N100-63,0.7809610165553589,0.2804736456766719,-1.049869126745047,-1.0497273775663347,0.02571895757931485,-1.1005769873427345,-1.0754732535384364,-1.0243723376414513,-0.9996744453018668
N100-64,0.7671166098590704,0.3035827762661969,-0.9727902423603056,-0.9726524615019585,0.025225687193951896,-1.0225740873250861,-0.9978843197417614,-0.9477347853981564,-0.9236549085112254
N100-65,0.7083667551529194,0.41169809667892165,-0.9242137035624877,-0.9240520000345502,0.022862610695121598,-0.9695567972637453,-0.9469427194635887,-0.9015039809845841,-0.8798778193936925
N100-66,0.7627406721872771,0.31106159205112927,-0.989777399024019,-0.9896343881575502,0.025312185618801407,-1.0399454116409514,-1.0148934092550423,-0.9646707173527864,-0.9403367912188142
N100-67,0.7769122985957927,0.28714656957731344,-1.0149487726016422,-1.0148656331328958,0.02591888242836001,-1.0660627586680012,-1.0407149372727964,-0.9891127303101857,-0.9645393774240156
N100-68,0.7447191042506404,0.3427881657557734,-0.9806260247330231,-0.980474525158706,0.024278648937156776,-1.0285207055033543,-1.0047531053451848,-0.9564754440422196,-0.9334857922854367
N100-69,0.7767277980830817,0.2874523127251798,-0.998071211559761,-0.9979873436692761,0.025497963674984525,-1.0484147485809998,-1.0233777757830886,-0.9727399813039347,-0.9483257433748363
N100-70,0.7521964881699343,0.3294398680761754,-0.9898889610308158,-0.9898148099974424,0.024798789188244418,-1.0388517881897812,-1.0145301238651352,-0.9652121403223294,-0.9416379508097861
N100-71,0.7914862278315308,0.26344586277861515,-1.0216723063410202,-1.0215840957952826,0.026614166314662527,-1.0741941786803086,-1.0481337694456787,-0.9952426686567907,-0.9697028908363653
N100-72,0.7776267376503915,0.2859640127878216,-1.0146891468234975,-1.0146797580754514,0.02574134068266877,-1.0652370328602652,-1.0402629269888088,-0.9890811967208475,-0.964431755907977
N100-73,0.7622762291465055,0.31186040147108574,-1.0042756990247068,-1.0041205252248835,0.024682965761838864,-1.0530189733355497,-1.0287876206343507,-0.9797682190819937,-0.9562621157881206
N100-74,0.7464459292840198,0.3396817649728303,-0.9772573879548443,-0.9771673796805328,0.024176486746340126,-1.0250068701758877,-1.001242369646831,-0.9532503236788382,-0.930157935451077
N100-75,0.7741978408174718,0.2916595052036115,-1.0289080671330273,-1.0288159112242905,0.025580134302018095,-1.079301264583966,-1.0543468042469963,-1.0034902022600116,-0.9789096270440228
N100-76,0.7810748104921714,0.28028709486851744,-1.0227637428123855,-1.0226225040657335,0.02625085559816935,-1.0745794718983623,-1.0488137885553945,-0.9966789732908701,-0.9716722825192898
N100-77,0.7484844139214326,0.3360331643525294,-0.9910039774904408,-0.9909006863876453,0.02393330757374926,-1.0383767675359818,-1.0147075054611618,-0.9672023543296497,-0.9444824370155595
N100-78,0.7842327074043662,0.2751317186320563,-1.0203350774459978,-1.020244687151274,0.02603793781733695,-1.07148075180225,-1.0462281479083426,-0.9943922196571633,-0.9695587333990158
N100-79,0.7646844240795174,0.307729003639301,-1.0192269999079935,-1.0191356522748576,0.025381412532151905,-1.0691811788885779,-1.044438359256076,-0.9939724417351561,-0.9697300518343328
N100-80,0.7794592818445824,0.28294065295304494,-1.0025495143823469,-1.0024418814204525,0.025781014940489566,-1.0532950038464313,-1.0281984823768973,-0.9768592868174979,-0.9522934044486202
N100-81,0.7639277730666025,0.3090242759282633,-0.9880112597458146,-0.9879230054920551,0.02532178230479677,-1.0378033002391323,-1.0132230435800802,-0.9628269990341298,-0.9385847231103448
N100-82,0.7728099655032721,0.2939791729377823,-0.9686686276345441,-0.9686892791866101,0.02603630167672356,-1.0198285342224598,-0.9944388764183139,-0.9427964197399927,-0.9176761769423006
N100-83,0.7582341183377619,0.3188538682382813,-1.0280005669056163,-1.027868974713409,0.024677129625421408,-1.0767368508757686,-1.0525242011172788,-1.003427678300245,-0.9801160061250874
N100-84,0.7758164660610649,0.28896465046320574,-0.9902858132652985,-0.99021795843468,0.025761089534317497,-1.0411661139809085,-1.015823822837112,-0.9647153445773475,-0.9399211830968438
N100-85,0.7709675163683942,0.29707150919983283,-1.0159731519985247,-1.0159293785916073,0.02584540009025884,-1.0669096417591402,-1.0416292072948048,-0.9902768313473057,-0.9654182631783295
N100-86,0.7634135762097453,0.30990596861648356,-0.981551914660986,-0.9814061199589809,0.024868245158829384,-1.0305523672691361,-1.0062842890878125,-0.9568887850536298,-0.9330578103195064
