realization,omega_m_mean,omega_m_median,omega_b_mean,omega_b_median,H0_mean,H0_median,Omega_m0_mean,Omega_m0_median,w0_mean,w0_median,wa_mean,wa_median,DeltaM_mean,DeltaM_median,wp_mean,wp_median
N100-0,0.14737095280458903,0.14737958395396453,0.022313156602205262,0.022312383912199904,70.66193983520785,70.65733282385165,0.2952258340993839,0.2951781299881736,-1.045149850676474,-1.045980890500982,0.0696451763689521,0.07891271774367078,0.01725098455360858,0.017185175704423267,-1.029387290290119,-1.0291997530084354
N100-1,0.1456619233061928,0.1456684689227062,0.022419148649533368,0.022418628022217,70.39635801537433,70.39331216175293,0.29400855145473215,0.2939416181605209,-1.0552974803786257,-1.0560584996970364,0.21219203533085665,0.22028763305400312,0.0019134605088841027,0.0018540337933573168,-1.0040258138346434,-1.0038362500026916
N100-2,0.14650642740740974,0.14651127209768236,0.022332434546107668,0.022332392901077455,69.65196322909048,69.6471519881235,0.3020679566527353,0.30201111842826767,-0.9576982002245146,-0.9582494005512415,-0.08730088160141092,-0.0799735701605954,-0.0016789271214798663,-0.0017507694392892847,-0.9779601318123925,-0.9778190106086327
N100-3,0.1463333860743062,0.14634146075817306,0.02239419010099463,0.022393903833478487,70.5250345603875,70.52383192145558,0.29428651860370003,0.2942186394212133,-1.0713227385552615,-1.0718952250026577,0.24057415533659668,0.2479865358126798,0.0028589614443698644,0.0028636686585188087,-1.0121891982293219,-1.012099448414241
N100-4,0.1465727595719997,0.14657836797240026,0.02212734240519084,0.022126527401683162,69.51515463687643,69.51124166146008,0.30339534900800225,0.30334799318405065,-1.0281064537042806,-1.028779850182761,0.12954978570875236,0.13816325551221398,-0.01595261507653086,-0.015984254097584017,-0.9968310050935856,-0.9966974559146731
N100-5,0.14759787727169488,0.14760186929549635,0.02223429933682123,0.022234247614626192,69.75605510027141,69.7516890369714,0.30341120469183963,0.3033654570276844,-0.9582761646061528,-0.9588730237103085,-0.18406188676992027,-0.17583621867711843,0.004157587161572416,0.0040991872198693526,-0.9997681536407003,-0.9997158343183327
N100-6,0.14669005880431973,0.14669853933526955,0.022468017891152672,0.022467381731137194,70.45251916920255,70.44890306989535,0.2956110374532502,0.29555685882383426,-0.9961939311151253,-0.9971162151198698,-0.0626684468558126,-0.05305344786276303,0.014706702628935028,0.014620953843580083,-1.0101175530934141,-1.0100117968987021
N100-7,0.1471927813529581,0.14720443460921998,0.022360501582421928,0.022360993646873033,70.76674350613094,70.76374195465847,0.2939968302987184,0.29393729845743644,-1.012332791107305,-1.0132962348569448,-0.07547485033338483,-0.06670724819589033,0.026588700888329493,0.026566962384798398,-1.02900623578583,-1.028962611067372
N100-8,0.14679873966117707,0.14680524849858906,0.022248920414358955,0.022248447199417806,70.12570506339496,70.12159028991925,0.2985949823604545,0.2985394122722522,-0.9883506903728406,-0.9890830916330022,-0.062181413340906766,-0.05354739007285761,0.011024721337952651,0.010997021300058217,-1.0025988949727385,-1.002488522563383
N100-9,0.14538061809971964,0.1453856608417297,0.022684519692110036,0.022684073675460513,70.02899627389368,70.02720408811965,0.2965279066487761,0.29647917658555567,-1.042473753112074,-1.0430385328327176,0.24203794535196735,0.24832241289174597,-0.0050098482241636615,-0.0050302568521136196,-0.9795516909768794,-0.9794727073592481
N100-10,0.14630824290879474,0.14631748703978226,0.02218674008835208,0.022186124518624062,70.12617869556904,70.12119256657272,0.2975922549090084,0.29754190606995207,-1.0195733904284943,-1.0203789562850765,0.05512803245615455,0.06428982826280402,0.0031086044718640396,0.003043643056827208,-1.0068237783250173,-1.00672725078391
N100-11,0.147628145203031,0.14763635296340694,0.022459811361332505,0.022459298603869703,69.88635274997822,69.88308879146959,0.3023418198032248,0.3022877713079921,-1.0061760785752702,-1.0069875590575914,0.016196681941390755,0.02473397907844084,-0.006815470487890542,-0.006869104313537667,-1.0024659048803548,-1.0023424878131024
N100-12,0.14602484836293503,0.14602812168974108,0.02228987211095246,0.022289721646322334,69.15779011369045,69.15419042136202,0.3053931512699879,0.3053226874261502,-0.9672145505550694,-0.9677438517500403,0.01040290048147134,0.0170836288081138,-0.023405189135823103,-0.02343224477321927,-0.9646297571740436,-0.9645252575323695
