realization,Delta_chi2_BAO_LR,Delta_chi2_CMB_LR,Delta_chi2_SN_LR,total_Delta_chi2_LR,classification
N100-0,-0.1119071321868379,0.010317997675759326,1.4880720337989715,1.386482899288012,SNE dominated
N100-1,0.8226409607036427,0.49515603593930885,0.3941487793254055,1.7119457759683883,BAO+CMB aligned
N100-2,0.8021634847486254,0.010054439354519745,0.1742713672008449,0.9864892913039967,BAO+CMB aligned
N100-3,-0.20817069986395254,0.23244463394200887,2.34349082208405,2.3677647561621598,SNE dominated
N100-4,1.0042609561481157,-0.5416450325494689,0.32842325031970176,0.7910391739183069,BAO dominated
N100-5,-0.8124358446456093,0.935954656812316,0.5281820902423533,0.6517009024091749,CMB dominated
N100-6,0.42519040097598193,-0.17274005114466012,-0.14173775591416415,0.1107125939170146,BAO dominated
N100-7,-0.0558285965222689,0.49322137376854414,0.7330390378397169,1.1704318150859763,SNE dominated
N100-8,0.047957700178580254,0.025516695249800096,-0.05051680380461221,0.02295759162370814,BAO+CMB aligned
N100-9,2.183213865151229,-1.0290017330007948,2.053585146737987,3.20779727888862,broadly shared
N100-10,-0.10949098409408542,0.14261280524940773,0.2045175904397638,0.23763941159518254,SNE dominated
N100-11,-0.05493159488681165,0.11596478018490011,-0.002286144851041172,0.058747040447087784,CMB dominated
N100-12,3.2221237245560346,-1.2564404268477731,0.34706768795194876,2.312750985660159,BAO dominated
N100-13,-0.11619373374043551,-0.046378886434905967,0.9424792690747381,0.7799066488994413,SNE dominated
N100-14,1.571923597132007,1.631423553753712,-0.4366007274945787,2.7667464233911687,BAO+CMB aligned
N100-15,1.3193081478727002,1.4656053490454506,-0.28945373405372266,2.4954597628645843,BAO+CMB aligned
N100-16,0.3717971925361869,-0.00075593622531199,1.6151941203099796,1.9862353766209253,SNE dominated
N100-17,1.7145771050895249,0.724102849422554,0.8035305983860326,3.2422105528980865,BAO+CMB aligned
N100-18,1.0153979239505766,0.6633728234496277,-0.40183381504266436,1.2769369323575575,BAO+CMB aligned
